Country,TotalPrice
Australia,31446.8
Austria,13414.33
Bahrain,805.97
Belgium,24537.579999999998
Brazil,268.27
Canada,1216.66
Channel Islands,24546.32
Cyprus,11347.1
Denmark,50906.85
EIRE,355790.48
Finland,7379.46
France,146107.07
Germany,202025.38999999998
Greece,14335.67
Iceland,1323.32
Israel,3199.4
Italy,15052.73
Japan,9722.02
Korea,1118.51
Lithuania,4892.68
Malta,5373.5
Netherlands,268784.35
Nigeria,140.39
Norway,23944.18
Poland,3567.7999999999997
Portugal,23843.46
RSA,931.43
Singapore,4037.77
Spain,47568.65
Sweden,53147.99
Switzerland,43921.39
Thailand,3070.54
USA,4786.47
United Arab Emirates,7300.41
United Kingdom,7381447.72
Unspecified,5946.58
West Indies,536.41
